evidence_set,dataset,mode,alternatives,criteria,decision_makers,target_alt,clean_target_rank,method,spearman,spearman_mean,spearman_std,kendall,kendall_mean,kendall_std,top1_acc,top1_mean,top1_std,target_rank,target_rank_error,target_rank_error_mean,target_rank_error_std,target_blocked
light_all_datasets_5x50,healthcare_resource_allocation,clean,80,18,15,邯郸市_2008,80,M4,0.999±0.000,0.999,0.0,0.985±0.001,0.985,0.001,1.000±0.000,1.0,0.0,80,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,healthcare_resource_allocation,clean,80,18,15,邯郸市_2008,80,M5,0.999±0.000,0.999,0.0,0.986±0.000,0.986,0.0,1.000±0.000,1.0,0.0,80,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,healthcare_resource_allocation,clean,80,18,15,邯郸市_2008,80,M6,0.999±0.000,0.999,0.0,0.984±0.001,0.984,0.001,1.000±0.000,1.0,0.0,80,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,healthcare_resource_allocation,clean,80,18,15,邯郸市_2008,80,M7,0.999±0.000,0.999,0.0,0.987±0.001,0.987,0.001,0.000±0.000,0.0,0.0,80,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,healthcare_resource_allocation,contaminated,80,18,15,邯郸市_2008,80,M1,0.925±0.000,0.925,0.0,0.934±0.000,0.934,0.0,0.000±0.000,0.0,0.0,1,79.000±0.000,79.0,0.0,False
light_all_datasets_5x50,healthcare_resource_allocation,contaminated,80,18,15,邯郸市_2008,80,M2,0.968±0.003,0.968,0.003,0.952±0.001,0.952,0.001,1.000±0.000,1.0,0.0,26,50.800±2.786,50.8,2.786,False
light_all_datasets_5x50,healthcare_resource_allocation,contaminated,80,18,15,邯郸市_2008,80,M3,1.000±0.000,1.0,0.0,0.992±0.000,0.992,0.0,1.000±0.000,1.0,0.0,80,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,healthcare_resource_allocation,contaminated,80,18,15,邯郸市_2008,80,M4,0.999±0.000,0.999,0.0,0.984±0.001,0.984,0.001,1.000±0.000,1.0,0.0,80,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,healthcare_resource_allocation,contaminated,80,18,15,邯郸市_2008,80,M5,0.964±0.000,0.964,0.0,0.952±0.000,0.952,0.0,1.000±0.000,1.0,0.0,26,54.000±0.000,54.0,0.0,False
light_all_datasets_5x50,healthcare_resource_allocation,contaminated,80,18,15,邯郸市_2008,80,M6,0.999±0.000,0.999,0.0,0.986±0.001,0.986,0.001,1.000±0.000,1.0,0.0,80,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,healthcare_resource_allocation,contaminated,80,18,15,邯郸市_2008,80,M7,0.999±0.000,0.999,0.0,0.986±0.000,0.986,0.0,1.000±0.000,1.0,0.0,80,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,supplier_beg_rashid,clean,4,4,2,A1,4,M1,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,4,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,supplier_beg_rashid,clean,4,4,2,A1,4,M2,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,4,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,supplier_beg_rashid,clean,4,4,2,A1,4,M3,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,4,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,supplier_beg_rashid,clean,4,4,2,A1,4,M4,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,4,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,supplier_beg_rashid,clean,4,4,2,A1,4,M5,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,4,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,supplier_beg_rashid,clean,4,4,2,A1,4,M6,0.800±0.000,0.8,0.0,0.667±0.000,0.667,0.0,1.000±0.000,1.0,0.0,3,1.000±0.000,1.0,0.0,False
light_all_datasets_5x50,supplier_beg_rashid,clean,4,4,2,A1,4,M7,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,4,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,supplier_beg_rashid,contaminated,4,4,2,A1,4,M1,-0.200±0.000,-0.2,0.0,0.000±0.000,0.0,0.0,0.000±0.000,0.0,0.0,1,3.000±0.000,3.0,0.0,False
light_all_datasets_5x50,supplier_beg_rashid,contaminated,4,4,2,A1,4,M2,-0.080±0.240,-0.08,0.24,0.067±0.133,0.067,0.133,0.200±0.400,0.2,0.4,1,2.800±0.400,2.8,0.4,False
light_all_datasets_5x50,supplier_beg_rashid,contaminated,4,4,2,A1,4,M3,-0.200±0.000,-0.2,0.0,0.000±0.000,0.0,0.0,0.000±0.000,0.0,0.0,1,3.000±0.000,3.0,0.0,False
light_all_datasets_5x50,supplier_beg_rashid,contaminated,4,4,2,A1,4,M4,-0.200±0.000,-0.2,0.0,0.000±0.000,0.0,0.0,0.000±0.000,0.0,0.0,1,3.000±0.000,3.0,0.0,False
